total_score,satification_score
1,FALSE
1.01,FALSE
1.01,FALSE
1.01,FALSE
1.02,FALSE
1.04,FALSE
1.04,FALSE
1.05,FALSE
1.06,FALSE
1.06,FALSE
1.09,FALSE
1.1,FALSE
1.1,FALSE
1.1,FALSE
1.11,FALSE
1.13,FALSE
1.13,FALSE
1.13,FALSE
1.14,FALSE
1.16,FALSE
1.16,FALSE
1.17,FALSE
1.18,FALSE
1.18,FALSE
1.19,FALSE
1.19,FALSE
1.2,FALSE
1.2,FALSE
1.21,FALSE
1.21,FALSE
1.23,FALSE
1.24,FALSE
1.27,FALSE
1.27,FALSE
1.27,FALSE
1.28,FALSE
1.28,FALSE
1.29,FALSE
1.3,FALSE
1.3,FALSE
1.32,FALSE
1.33,FALSE
1.33,FALSE
1.33,FALSE
1.33,FALSE
1.35,FALSE
1.35,FALSE
1.36,FALSE
1.36,FALSE
1.38,FALSE
1.38,FALSE
1.39,FALSE
1.4,FALSE
1.4,FALSE
1.4,FALSE
1.41,FALSE
1.41,FALSE
1.42,FALSE
1.43,FALSE
1.43,FALSE
1.45,FALSE
1.45,FALSE
1.45,FALSE
1.45,FALSE
1.48,FALSE
1.48,FALSE
1.52,FALSE
1.52,FALSE
1.52,FALSE
1.53,FALSE
1.53,FALSE
1.54,FALSE
1.54,FALSE
1.56,FALSE
1.57,FALSE
1.57,FALSE
1.58,FALSE
1.58,FALSE
1.59,FALSE
1.59,FALSE
1.6,FALSE
1.6,FALSE
1.62,FALSE
1.62,FALSE
1.63,FALSE
1.63,FALSE
1.65,FALSE
1.66,FALSE
1.66,FALSE
1.67,FALSE
1.68,FALSE
1.7,FALSE
1.72,FALSE
1.73,FALSE
1.74,FALSE
1.74,FALSE
1.75,FALSE
1.75,FALSE
1.75,FALSE
1.76,FALSE
1.77,FALSE
1.78,FALSE
1.79,FALSE
1.8,FALSE
1.8,FALSE
1.8,FALSE
1.81,FALSE
1.86,FALSE
1.86,FALSE
1.86,FALSE
1.86,FALSE
1.86,FALSE
1.86,FALSE
1.88,FALSE
1.9,FALSE
1.93,FALSE
1.94,FALSE
1.94,FALSE
1.98,FALSE
1.99,FALSE
1.99,FALSE
2,FALSE
2,FALSE
2.04,FALSE
2.05,FALSE
2.05,FALSE
2.06,FALSE
2.07,FALSE
2.08,FALSE
2.08,FALSE
2.08,FALSE
2.09,FALSE
2.09,FALSE
2.11,FALSE
2.11,FALSE
2.11,FALSE
2.19,FALSE
2.19,FALSE
2.2,FALSE
2.21,FALSE
2.21,FALSE
2.23,FALSE
2.26,FALSE
2.28,FALSE
2.3,FALSE
2.32,FALSE
2.33,FALSE
2.33,FALSE
2.36,FALSE
2.37,FALSE
2.38,FALSE
2.39,FALSE
2.44,FALSE
2.45,FALSE
2.45,FALSE
2.46,FALSE
2.46,FALSE
2.46,FALSE
2.49,FALSE
2.49,FALSE
2.49,FALSE
2.49,FALSE
2.5,FALSE
2.51,FALSE
2.53,FALSE
2.53,FALSE
2.53,FALSE
2.55,FALSE
2.59,FALSE
2.6,FALSE
2.6,FALSE
2.63,FALSE
2.64,FALSE
2.65,FALSE
2.65,FALSE
2.68,FALSE
2.69,FALSE
2.7,FALSE
2.7,FALSE
2.72,FALSE
2.72,FALSE
2.73,FALSE
2.73,FALSE
2.76,FALSE
2.78,FALSE
2.79,FALSE
2.79,FALSE
2.8,FALSE
2.8,FALSE
2.8,FALSE
2.8,FALSE
2.82,FALSE
2.82,FALSE
2.84,FALSE
2.84,FALSE
2.85,FALSE
2.89,FALSE
2.89,FALSE
2.9,FALSE
2.9,FALSE
2.91,FALSE
2.91,FALSE
2.92,FALSE
2.92,FALSE
2.92,FALSE
2.93,FALSE
2.93,FALSE
2.93,FALSE
2.95,FALSE
2.95,FALSE
2.97,FALSE
2.98,FALSE
3.01,FALSE
3.03,FALSE
3.03,FALSE
3.07,FALSE
3.07,FALSE
3.07,FALSE
3.07,FALSE
3.08,FALSE
3.1,FALSE
3.1,FALSE
3.1,FALSE
3.12,FALSE
3.13,FALSE
3.13,FALSE
3.14,FALSE
3.14,FALSE
3.17,FALSE
3.17,FALSE
3.17,FALSE
3.18,FALSE
3.19,FALSE
3.19,FALSE
3.22,FALSE
3.22,FALSE
3.24,FALSE
3.24,FALSE
3.26,FALSE
3.26,FALSE
3.26,FALSE
3.27,FALSE
3.28,FALSE
3.28,FALSE
3.28,FALSE
3.3,FALSE
3.32,FALSE
3.33,FALSE
3.34,FALSE
3.34,FALSE
3.35,FALSE
3.37,FALSE
3.39,FALSE
3.4,FALSE
3.41,FALSE
3.41,FALSE
3.41,FALSE
3.43,FALSE
3.46,FALSE
3.46,FALSE
3.46,FALSE
3.47,FALSE
3.48,FALSE
3.48,FALSE
3.49,FALSE
3.49,FALSE
3.5,FALSE
3.5,FALSE
3.51,FALSE
3.51,FALSE
3.51,FALSE
3.55,FALSE
3.55,FALSE
3.56,FALSE
3.59,FALSE
3.59,FALSE
3.59,FALSE
3.6,FALSE
3.61,FALSE
3.61,FALSE
3.61,FALSE
3.61,FALSE
3.61,FALSE
3.62,FALSE
3.63,FALSE
3.64,FALSE
3.64,FALSE
3.66,FALSE
3.68,FALSE
3.68,FALSE
3.69,FALSE
3.69,FALSE
3.69,FALSE
3.7,FALSE
3.7,FALSE
3.7,FALSE
3.71,FALSE
3.71,FALSE
3.72,FALSE
3.73,FALSE
3.73,FALSE
3.74,FALSE
3.76,FALSE
3.76,FALSE
3.77,FALSE
3.78,FALSE
3.78,FALSE
3.8,FALSE
3.8,FALSE
3.82,FALSE
3.82,FALSE
3.82,FALSE
3.83,FALSE
3.84,FALSE
3.84,FALSE
3.84,FALSE
3.85,FALSE
3.86,FALSE
3.87,FALSE
3.87,FALSE
3.89,FALSE
3.89,FALSE
3.9,FALSE
3.91,FALSE
3.94,FALSE
3.95,FALSE
3.96,FALSE
3.96,FALSE
3.96,FALSE
3.97,FALSE
3.97,FALSE
4.02,FALSE
4.02,FALSE
4.03,FALSE
4.03,FALSE
4.04,FALSE
4.05,FALSE
4.06,FALSE
4.06,FALSE
4.06,FALSE
4.09,FALSE
4.1,FALSE
4.14,FALSE
4.14,FALSE
4.15,FALSE
4.15,FALSE
4.15,FALSE
4.15,FALSE
4.15,FALSE
4.16,FALSE
4.17,FALSE
4.17,FALSE
4.18,FALSE
4.18,FALSE
4.18,FALSE
4.19,FALSE
4.21,FALSE
4.21,FALSE
4.22,FALSE
4.24,FALSE
4.24,FALSE
4.24,FALSE
4.25,FALSE
4.26,FALSE
4.26,FALSE
4.27,FALSE
4.28,TRUE
4.31,TRUE
4.32,TRUE
4.33,FALSE
4.33,FALSE
4.33,FALSE
4.33,FALSE
4.33,FALSE
4.34,FALSE
4.35,FALSE
4.37,FALSE
4.37,FALSE
4.37,FALSE
4.39,FALSE
4.39,FALSE
4.4,FALSE
4.41,FALSE
4.42,FALSE
4.44,FALSE
4.44,FALSE
4.45,FALSE
4.45,FALSE
4.46,FALSE
4.48,FALSE
4.5,FALSE
4.52,FALSE
4.54,FALSE
4.55,FALSE
4.55,FALSE
4.55,FALSE
4.56,FALSE
4.56,FALSE
4.56,FALSE
4.57,FALSE
4.57,FALSE
4.57,FALSE
4.57,FALSE
4.58,FALSE
4.59,FALSE
4.59,FALSE
4.59,FALSE
4.6,FALSE
4.61,FALSE
4.61,FALSE
4.62,FALSE
4.62,FALSE
4.63,FALSE
4.64,FALSE
4.65,FALSE
4.65,FALSE
4.65,FALSE
4.66,FALSE
4.66,FALSE
4.7,FALSE
4.71,FALSE
4.76,FALSE
4.76,FALSE
4.76,FALSE
4.78,FALSE
4.78,FALSE
4.79,FALSE
4.79,FALSE
4.79,FALSE
4.8,FALSE
4.8,FALSE
4.8,FALSE
4.81,FALSE
4.83,FALSE
4.87,FALSE
4.89,FALSE
4.9,FALSE
4.9,FALSE
4.9,FALSE
4.91,FALSE
4.91,FALSE
4.91,FALSE
4.92,FALSE
4.92,FALSE
4.93,FALSE
4.93,FALSE
4.93,FALSE
4.97,FALSE
4.99,FALSE
5,FALSE
5.01,FALSE
5.02,TRUE
5.03,TRUE
5.03,FALSE
5.06,FALSE
5.09,TRUE
5.1,TRUE
5.1,TRUE
5.12,FALSE
5.12,TRUE
5.16,TRUE
5.17,FALSE
5.17,FALSE
5.17,TRUE
5.18,TRUE
5.18,FALSE
5.19,FALSE
5.19,FALSE
5.19,TRUE
5.19,FALSE
5.2,TRUE
5.23,FALSE
5.23,TRUE
5.23,TRUE
5.24,FALSE
5.25,FALSE
5.25,TRUE
5.26,TRUE
5.26,TRUE
5.28,TRUE
5.31,FALSE
5.32,FALSE
5.33,TRUE
5.34,FALSE
5.34,TRUE
5.35,FALSE
5.37,FALSE
5.37,FALSE
5.37,FALSE
5.38,FALSE
5.38,FALSE
5.39,TRUE
5.39,FALSE
5.39,TRUE
5.39,FALSE
5.4,FALSE
5.4,FALSE
5.41,TRUE
5.41,TRUE
5.41,FALSE
5.42,FALSE
5.43,TRUE
5.43,FALSE
5.44,TRUE
5.44,TRUE
